class_id,class_name,precision,recall,f1_score,support
0,Speed limit (20km/h),1.0,1.0,1.0,32
1,Speed limit (30km/h),0.994535519125683,0.9972602739726028,0.9958960328317373,365
2,Speed limit (50km/h),0.9884726224783862,0.9942028985507246,0.9913294797687862,345
3,Speed limit (60km/h),0.9955357142857143,0.9955357142857143,0.9955357142857143,224
4,Speed limit (70km/h),0.9929577464788732,1.0,0.9964664310954063,282
5,Speed limit (80km/h),0.993006993006993,0.9895470383275261,0.9912739965095986,287
6,End of speed limit (80km/h),1.0,1.0,1.0,68
7,Speed limit (100km/h),0.9914163090128756,1.0,0.9956896551724138,231
8,Speed limit (120km/h),1.0,0.9819004524886877,0.9908675799086758,221
9,No passing,0.9954128440366973,1.0,0.9977011494252873,217
10,No passing for vehicles over 3.5t,1.0,1.0,1.0,294
11,Right-of-way at next intersection,1.0,0.9710144927536232,0.9852941176470589,207
12,Priority road,1.0,1.0,1.0,306
13,Yield,1.0,1.0,1.0,307
14,Stop,1.0,1.0,1.0,90
15,No vehicles,1.0,0.98989898989899,0.9949238578680203,99
16,Vehicles over 3.5t prohibited,1.0,1.0,1.0,63
17,No entry,1.0,1.0,1.0,159
18,General caution,1.0,1.0,1.0,176
19,Dangerous curve left,1.0,1.0,1.0,35
20,Dangerous curve right,1.0,0.9818181818181818,0.9908256880733946,55
21,Double curve,0.9827586206896551,0.9193548387096774,0.95,62
22,Bumpy road,1.0,1.0,1.0,56
23,Slippery road,0.9726027397260274,1.0,0.9861111111111112,71
24,Road narrows on the right,1.0,1.0,1.0,46
25,Road work,0.9956896551724138,0.9956896551724138,0.9956896551724138,232
26,Traffic signals,1.0,0.9868421052631579,0.9933774834437086,76
27,Pedestrians,0.9545454545454546,1.0,0.9767441860465116,42
28,Children crossing,1.0,1.0,1.0,79
29,Bicycles crossing,1.0,0.9761904761904762,0.9879518072289156,42
30,Beware of ice/snow,0.9736842105263158,0.9866666666666667,0.9801324503311258,75
31,Wild animals crossing,0.9402985074626866,1.0,0.9692307692307692,126
32,End of all speed and passing limits,1.0,0.9736842105263158,0.9866666666666667,38
33,Turn right ahead,1.0,1.0,1.0,105
34,Turn left ahead,1.0,0.984375,0.9921259842519685,64
35,Ahead only,1.0,1.0,1.0,154
36,Go straight or right,1.0,1.0,1.0,64
37,Go straight or left,1.0,1.0,1.0,31
38,Keep right,0.9966666666666667,1.0,0.998330550918197,299
39,Keep left,1.0,1.0,1.0,43
40,Roundabout mandatory,1.0,0.9761904761904762,0.9879518072289156,42
41,End of no passing,0.9761904761904762,1.0,0.9879518072289156,41
42,End of no passing by vehicles over 3.5t,1.0,0.9666666666666667,0.9830508474576272,30
